group_type,state,episode_id,account_id,start_date,end_date,duration_trading_sessions,total_return,max_drawdown,longest_completed_underwater_state_days,right_censored_underwater,terminal_underwater_state_days
TREND,SIDEWAYS,56,HD-BASE-RM-001,2023-09-19,2023-09-19,1,0.0017637911318542088,0.0,0,False,0
TREND,SIDEWAYS,58,HD-BASE-RM-001,2023-10-23,2023-10-24,2,0.003677808300862395,-0.0008826739922068727,1,False,0
TREND,SIDEWAYS,60,HD-BASE-RM-001,2023-10-26,2023-10-30,3,0.007995822429565314,-0.0013244006596494495,1,False,0
TREND,SIDEWAYS,62,HD-BASE-RM-001,2023-11-07,2023-12-25,35,0.017092690517191533,-0.004820666342691848,9,False,0
TREND,SIDEWAYS,64,HD-BASE-RM-001,2023-12-28,2024-01-02,3,0.0021690321971137294,-0.0036150536618565488,2,False,0
TREND,SIDEWAYS,66,HD-BASE-RM-001,2024-01-12,2024-01-12,1,0.005086819904290163,0.0,0,False,0
TREND,SIDEWAYS,68,HD-BASE-RM-001,2024-01-17,2024-01-24,6,0.004336810170108896,-0.004625930848116133,5,False,0
TREND,SIDEWAYS,70,HD-BASE-RM-001,2024-03-28,2024-03-28,1,0.00028386806190972,0.0,0,False,0
TREND,SIDEWAYS,72,HD-BASE-RM-001,2024-04-02,2024-04-08,3,0.008954553508905727,-0.0041219373294961725,2,False,0
TREND,SIDEWAYS,74,HD-BASE-RM-001,2024-10-28,2024-10-30,3,0.002297754778203487,0.0,0,False,0
TREND,SIDEWAYS,76,HD-BASE-RM-001,2024-11-01,2024-11-01,1,0.005403560405951469,0.0,0,False,0
TREND,SIDEWAYS,78,HD-BASE-RM-001,2024-11-13,2024-11-13,1,0.0057208809430191465,0.0,0,False,0
TREND,SIDEWAYS,80,HD-BASE-RM-001,2024-11-18,2024-11-18,1,0.0043510617950486274,0.0,0,False,0
