exchange,trade_date,is_open,previous_trade_date,source
SSE,19990623,1,19990622,sina_finance
SSE,19990624,1,19990623,sina_finance
SSE,19990625,1,19990624,sina_finance
SSE,19990628,1,19990625,sina_finance
SSE,19990629,1,19990628,sina_finance
SSE,19990630,1,19990629,sina_finance
SSE,19990701,1,19990630,sina_finance
SSE,19990702,1,19990701,sina_finance
SSE,19990705,1,19990702,sina_finance
SSE,19990706,1,19990705,sina_finance
SSE,19990707,1,19990706,sina_finance
SSE,19990708,1,19990707,sina_finance
SSE,19990709,1,19990708,sina_finance
SSE,19990712,1,19990709,sina_finance
SSE,19990713,1,19990712,sina_finance
SSE,19990714,1,19990713,sina_finance
SSE,19990715,1,19990714,sina_finance
SSE,19990716,1,19990715,sina_finance
SSE,19990719,1,19990716,sina_finance
SSE,19990720,1,19990719,sina_finance
SSE,19990721,1,19990720,sina_finance
SSE,19990722,1,19990721,sina_finance
SSE,19990723,1,19990722,sina_finance
SSE,19990726,1,19990723,sina_finance
SSE,19990727,1,19990726,sina_finance
SSE,19990728,1,19990727,sina_finance
SSE,19990729,1,19990728,sina_finance
SSE,19990730,1,19990729,sina_finance
SSE,19990802,1,19990730,sina_finance
SSE,19990803,1,19990802,sina_finance
SSE,19990804,1,19990803,sina_finance
SSE,19990805,1,19990804,sina_finance
SSE,19990806,1,19990805,sina_finance
SSE,19990809,1,19990806,sina_finance
SSE,19990810,1,19990809,sina_finance
SSE,19990811,1,19990810,sina_finance
SSE,19990812,1,19990811,sina_finance
SSE,19990813,1,19990812,sina_finance
SSE,19990816,1,19990813,sina_finance
SSE,19990817,1,19990816,sina_finance
SSE,19990818,1,19990817,sina_finance
SSE,19990819,1,19990818,sina_finance
SSE,19990820,1,19990819,sina_finance
SSE,19990823,1,19990820,sina_finance
SSE,19990824,1,19990823,sina_finance
SSE,19990825,1,19990824,sina_finance
SSE,19990826,1,19990825,sina_finance
SSE,19990827,1,19990826,sina_finance
SSE,19990830,1,19990827,sina_finance
SSE,19990831,1,19990830,sina_finance
SSE,19990901,1,19990831,sina_finance
SSE,19990902,1,19990901,sina_finance
SSE,19990903,1,19990902,sina_finance
SSE,19990906,1,19990903,sina_finance
SSE,19990907,1,19990906,sina_finance
SSE,19990908,1,19990907,sina_finance
SSE,19990909,1,19990908,sina_finance
SSE,19990910,1,19990909,sina_finance
SSE,19990913,1,19990910,sina_finance
SSE,19990914,1,19990913,sina_finance
SSE,19990915,1,19990914,sina_finance
SSE,19990916,1,19990915,sina_finance
SSE,19990917,1,19990916,sina_finance
SSE,19990920,1,19990917,sina_finance
SSE,19990921,1,19990920,sina_finance
SSE,19990922,1,19990921,sina_finance
SSE,19990923,1,19990922,sina_finance
SSE,19990924,1,19990923,sina_finance
SSE,19990927,1,19990924,sina_finance
SSE,19990928,1,19990927,sina_finance
SSE,19990929,1,19990928,sina_finance
SSE,19990930,1,19990929,sina_finance
SSE,19991008,1,19990930,sina_finance
SSE,19991011,1,19991008,sina_finance
SSE,19991012,1,19991011,sina_finance
SSE,19991013,1,19991012,sina_finance
SSE,19991014,1,19991013,sina_finance
SSE,19991015,1,19991014,sina_finance
SSE,19991018,1,19991015,sina_finance
SSE,19991019,1,19991018,sina_finance
SSE,19991020,1,19991019,sina_finance
SSE,19991021,1,19991020,sina_finance
SSE,19991022,1,19991021,sina_finance
SSE,19991025,1,19991022,sina_finance
SSE,19991026,1,19991025,sina_finance
